,id,date,user_id,text,messages,contains_similar_buhexpert,emotion,emotion_score,reason,clear_text
17998,17999,2024-02-02,1505,"Отображаем удержанный НДФЛ, с помощью установленного патча в зуп. будут вопросы пишите https://buhexpert8.ru/1s-zup/ndfl/ndfl-ischislennyj-uderzhannyj-i-perechislennyj/kak-s-2024-goda-zapolnyat-otrazhenie-uderzhannogo-ndfl-v-zup-3-1.html",messages_2,False,positive,0.5,"Пользователь ссылается на сервис как на источник информации, но выражение его мнения нейтральное. Поэтому классифицируется как нейтральный комментарий.",отображаем удержанный ндфл с помощью установленного патча в зуп будут вопросы пишите ссылка на бухэксперт 8
19358,19359,2024-02-06,31,"Фразу "" как оформить в Бухгалтерии предприятия возврат сотрудником излишне выплаченной зарплаты""  в поиск не пробовали внести? сколько вариантов? Выберите рекомендации Бухэксперта.",messages_2,True,positive,0.6,"Пользователь ссылается на рекомендации бухгалтерского эксперта как на источник полезной информации, хотя сам комментарий не связан с непосредственным опытом использования сервиса. Это делает его положительным комментарием.",фразу как оформить в бухгалтерии предприятия возврат сотрудником излишне выплаченной зарплаты в поиск не пробовали внести сколько вариантов выберите рекомендации бухэксперта
19359,19360,2024-02-06,31,Для особо ленивых - https://buhexpert8.ru/1s-buhgalteriya/kadry-i-zarabotnaya-plata/raschet-zarplaty-i-strahovyh-vznosov/vozvrat-sotrudnikom-izlishne-perechislennoj-zarabotnoj-platy.html?ysclid=ls9yvsavsn744848171,messages_2,False,positive,0.5,"Пользователь упоминает бухэксперт8 как источник информации, но не выражает особую эмоцию по отношению к сервису. Это делает комментарий нейтральным.",для особо ленивых ссылка на бухэксперт 8
19368,19369,2024-02-06,75,"Доброе! По кассам не подскажу, но скорее всего да, нужно. А по освобождению вот 👉https://buhexpert8.ru/1s-buhgalteriya/nalogi/nds-nalogi/poryadok-rascheta-nds/osvobozhdenie-ot-nds.html?ysclid=lsa05nwydo224569873 И контролировать выручку поквартально.",messages_2,False,positive,0.5,"Пользователь ссылается на сервис бухэксперт 8 как источник информации, но не выражает явное удовлетворение или недовольство. Поэтому комментарий классифицируется как нейтральный.",доброе по кассам не подскажу но скорее всего да нужно а по освобождению вот ссылка на бухэксперт 8 и контролировать выручку поквартально
21973,21974,2024-02-14,31,"А на фуя такие деньги тратить? Что там есть? Не работать - сервисы читать? Вообще не вижу смысла. Бухэксперт проф предпочёл бы, будь на это деньги",messages_2,True,negative,0.8,Дороговизна сервиса,а на фуя такие деньги тратить что там есть не работать сервисы читать вообще не вижу смысла бухэксперт проф предпочёл бы будь на это деньги
24327,24328,2024-02-20,1308,Бухэксперт говорит что есть,messages_2,True,positive,0.5,"Пользователь ссылается на мнение бухгалтера как на достоверную информацию, но комментарий не содержит деталей о том, насколько хорошо сервис сам по себе. Поэтому оценка как нейтральная.",бухэксперт говорит что есть
25223,25224,2024-02-22,31,Итс в помощь.. Бух эксперт. Гугл. Информации море. По шагам. С картинками. Лень? В личку. Платно. Дорого.,messages_2,False,positive,0.7,"Пользователь ссылается на сервис как на источник информации, что делает комментарий положительным. Хотя он упоминает, что это платный сервис, это не влияет на общую оценку, так как основная цель - предоставление достоверной информации.",итс в помощь бух эксперт гугл информации море по шагам с картинками лень в личку платно дорого
28057,28058,2024-02-29,833,"Татьяна, здесь всё-всё, что нужно, как настроить учет командировочных в 1с бухгалтерия:
 https://buhexpert8.ru/obuchenie-1s/1s-buhgalteriya-8-3/oformlenie-komandirovki-v-1s-8-3-buhgalteriya-po-shagam.html",messages_2,False,positive,0.75,"Пользователь ссылается на сервис как на источник полезной информации для настройки командировочных в 1 счете, что считается хорошим примером для сервиса. Хотя комментарий немного нейтральный, он имеет положительный оттенок из-за ссылки на бухгалтерский эксперт.",татьяна здесь всё всё что нужно как настроить учет командировочных в 1 с бухгалтерия ссылка на бухэксперт 8
28088,28089,2024-02-29,1649,"Вот тут посмотрите, по ссылке пройдите, там написано как создать начисление (командировка), которого вам не хватает. Выше вам уже эту ссылку скинули…. Изучите)))

https://buhexpert8.ru/obuchenie-1s/1s-buhgalteriya-8-3/oformlenie-komandirovki-v-1s-8-3-buhgalteriya-po-shagam.html",messages_2,False,positive,0.6,"Пользователь ссылается на сервис бухэксперт 8 как на источник полезной информации, хотя высказывается о нем негативно, указывая, что ему не хватает информации о создании начисления по командировке. Это делает комментарий положительным.",вот тут посмотрите по ссылке пройдите там написано как создать начисление командировка которого вам не хватает выше вам уже эту ссылку скинули изучите ссылка на бухэксперт 8
28097,28098,2024-02-29,31,Ну вот смотрит она в пошаговую... И что?? Пока результатом не обрадовала. А Вы правы - я не дочитал бухэксперт. Только до авансового. Виноват. Отстоял в углу 1.5 минуты.,messages_2,True,negative,0.5,"Пользователь не доволен результатом сервиса, хотя и ссылается на него как на источник информации. Причина недовольства - ожидание результатов дольше 1-5 минут.",ну вот смотрит она в пошаговую и что пока результатом не обрадовала а вы правы я не дочитал бухэксперт только до авансового виноват отстоял в углу 1 5 минуты
29140,29141,2024-03-02,249,Здравствуйте. Посмотрите здесь вроде похожий вопрос https://buhexpert8.ru/voprosy/voprosy-1s-buhgalteriya/razleli-rashody-mezhdu-patentom-i-osn.html,messages_2,False,positive,0.5,"Пользователь ссылается на сервис бухэксперт 8 как на источник информации, но не выражает явную позитивную или негативную реакцию на сервис сам по себе. Поэтому оценка положительная, но с нейтральным настроением.",здравствуйте посмотрите здесь вроде похожий вопрос ссылка на бухэксперт 8
29376,29377,2024-03-04,833,"Ой, стёрла случайно) дубль: https://buhexpert8.ru/voprosy/voprosy-1s-buhgalteriya/perehod-fsbu-6.html ",messages_2,False,positive,0.5,"Пользователь упомянул бухгалтерский эксперт как источник информации, но не дал конкретной оценки сервису. Поэтому оценка положительная, но с нейтральным эмоциональным индексом.",ой стёрла случайно дубль ссылка на бухэксперт 8
32730,32731,2024-03-14,2345,"На сайте БухЭксперт есть очень хорошая статья ""ОТРАЖЕНИЕ НАЛОГА НА ПРИБЫЛЬ К УМЕНЬШЕНИЮ НА ЕНС В 2023 В 1С"" делала по ней на 31.12.",messages_2,True,positive,0.8,"Пользователь ссылается на сервис бухэксперт как на источник достоверной информации, что считается хорошим примером для сервиса. Хорошая статья по актуальной теме, что вызывает положительный отклик.",на сайте бухэксперт есть очень хорошая статья отражение налога на прибыль к уменьшению на енс в 2023 в 1 с делала по ней на 31 12
33782,33783,2024-03-18,833,"После этого определяетесь, имеете ли право на упрощённый учёт (без дисконтирования) и если ""да"", то инструкция пошагово: https://buhexpert8.ru/1s-buhgalteriya/fsbu-25-lizing/u-lizingopoluchatelya-na-balanse-lizingopoluchatelya/poshagovyj-uchet-lizinga-v-1s-8-3-na-balanse-lizingopoluchatelya-s-2022-prof.html",messages_2,False,positive,0.7,"Пользователь упоминает о праве на упрощенный учет без дисконтирования и интересуется инструкцией. Это положительный комментарий, так как пользователь видит в сервисе бухгалтерской экспертизы (buhexpert8) потенциальную ценность и готовность использовать его. Хотя конкретной инструкции не найдено, общий настрой к сервису положительный.",после этого определяетесь имеете ли право на упрощённый учёт без дисконтирования и если да то инструкция пошагово ссылка на бухэксперт 8
34319,34320,2024-03-20,249,"Посмотрите, здесь метод для учета страховых за сотрудников, но может и для ИП сработает https://buhexpert8.ru/1s-buhgalteriya/enp/kak-pri-usn-uchest-strahovye-vznosy-uplachennye-dosrochno-v-dekabre-2023-v-1s.html",messages_2,False,positive,0.6,"Пользователь ссылается на сервис как источник информации, который может быть полезен для учета страховых за сотрудников и, возможно, также для ип. Хотя комментарий не является очень положительным, он все же оценивает сервис положительно из-за его информативности и практичности.",посмотрите здесь метод для учета страховых за сотрудников но может и для ип сработает ссылка на бухэксперт 8
34376,34377,2024-03-20,547,"Бухэксперт пишет, что возможность ручного ввода будет доступна, посмотрим..

https://buhexpert8.ru/voprosy/voprosy-1s-buhgalteriya/v-2024-godu-v-kudir-ne-vklyuchayutsya-ndfl-i-strahovye-vznosy.html?ysclid=ltz8phvfbs193077520",messages_2,True,positive,0.7,"Пользователь оценивает сервис положительно, так как бухэксперт сообщает о возможности ручного ввода данных, что является полезной функцией. Также упоминание ссылки на бухэксперт 8 свидетельствует о доверии к сервису.",бухэксперт пишет что возможность ручного ввода будет доступна посмотрим ссылка на бухэксперт 8
34735,34736,2024-03-20,5,Попробуйте по этой статье https://buhexpert8.ru/voprosy/voprosy-1s-buhgalteriya/usn-dohody-rashody-byla-15-ispravit-na-7-s-2021-goda.html,messages_2,False,positive,0.5,"Пользователь ссылается на статью на сайте бухгалтерского эксперта 8, что считается положительным примером для сервиса, несмотря на то, что комментарий является нейтральным.",попробуйте по этой статье ссылка на бухэксперт 8
36432,36433,2024-03-24,547,"Ясно, у нас попали, ждем когда этот год попадет, как обещали в новом 150ом релизе, в бухэксперте статья была , про ваш случай про декабрь в декабре",messages_2,True,positive,0.5,"Пользователь ссылается на статью в Buhexpert как на источник информации, хотя высказывается немного негативно о том, что ожидает от нового релиза. Причина: информация о новом релизе и ожидания от него.",ясно у нас попали ждем когда этот год попадет как обещали в новом 150 ом релизе в бухэксперте статья была про ваш случай про декабрь в декабре
36444,36445,2024-03-24,15,"вот блин чудеса, у кого то попадают, у кого то нет, на бухэксперте читала, данная операция у меня выполнена автоматически, может в этом загвоздка , потому как в статье советуют ее руками сделать ..",messages_2,True,negative,0.6,"Пользователь жалуется на автоматическое выполнение данной операции, которая по их мнению должна выполняться вручную. Они основывают свой вывод на совете в статье, который говорит о необходимости выполнения этой операции руками.",вот блин чудеса у кого то попадают у кого то нет на бухэксперте читала данная операция у меня выполнена автоматически может в этом загвоздка потому как в статье советуют ее руками сделать
37537,37538,2024-03-27,75,Ну либо вот 👉https://buhexpert8.ru/1s-buhgalteriya/fsbu-5-2019-zapasy-1s-buhgalteriya/metodika-ucheta-nesushhestvennyh-obektov.html,messages_2,False,positive,0.7,"Пользователь ссылается на сервис бухэксперт 8 как на источник информации, что считается хорошим примером для сервиса. Хотя комментарий содержит негативный тон, но он не направлен непосредственно против сервиса, а лишь ссылается на него как на источник.",ну либо вот ссылка на бухэксперт 8
37538,37539,2024-03-27,17,Спасибо!🙏🏻 Мне кажется я бухэксперт уже до дыр затерла с этими запасами 🙊😊,messages_2,True,positive,0.75,"Пользователь считает себя бухгалтером и похвалил сервис за то, что он помогает иметь полное представление о запасах. Это положительный комментарий, показывающий, что сервис полезен для профессиональной деятельности бухгалтера.",спасибо мне кажется я бухэксперт уже до дыр затерла с этими запасами
37549,37550,2024-03-27,1662,"Уважаемые чародеи/йки дебета-кредита.
СВ к расходу УСН доходы ООО в декабре, по этой https://buhexpert8.ru/1s-buhgalteriya/enp/kak-pri-usn-uchest-strahovye-vznosy-uplachennye-dosrochno-v-dekabre-2023-v-1s.html
 статье 1 способ через добавление документа Операцию по единому налоговому счету с видом Налоги (уплата) (раздел Операции – Операции по счету за 2023 год). только увеличивает уплаченные.
Какие еще есть варианты?",messages_2,False,positive,0.5,"Пользователь ссылается на сервис бухгалтерского учета как на источник информации, но высказывается нейтрально о конкретном способе, описанном в статье на бухэксперт 8. Хотя он не выражает явную положительную или отрицательную оценку сервиса, его комментарий считается положительным, так как он ссылается на сервис как на источник достоверной информации.",уважаемые чародеи йки дебета кредита св к расходу усн доходы ооо в декабре по этой ссылка на бухэксперт 8 статье 1 способ через добавление документа операцию по единому налоговому счету с видом налоги уплата раздел операции операции по счету за 2023 год только увеличивает уплаченные какие еще есть варианты
39087,39088,2024-03-31,21,"Вот статью почитайте по производству продукции и еще надо в учетной политике покопаться, галки указать когда в расход материалы принимать https://buhexpert8.ru/1s-buhgalteriya/proizvodstvo-gotovoj-produktsii/uchet-proizvodstva-v-1s-8-3-buhgalteriya.html?ysclid=lue9ucdfuo684414054",messages_2,False,positive,0.65,"Пользователь ссылается на сервис как на источник информации для изучения производства продукции и учетной политики, а также упоминает о необходимости указания галок для материалов и принятия расходов. Хотя комментарий содержит некоторые негативные нотки, основная направленность - как полезный ресурс для получения знаний.",вот статью почитайте по производству продукции и еще надо в учетной политике покопаться галки указать когда в расход материалы принимать ссылка на бухэксперт 8
39091,39092,2024-03-31,21,"Проверка включения в расходы при УСН стоимости приобретенных материалов в 1С
https://buhexpert8.ru/1s-buhgalteriya/lajfhaki-dlya-buhgaltera/otchety/universalnyj-otchet/proverka-zapolneniya-v-knige-ucheta-dohodov-i-rashodov-stoimosti-priobretennogo-materiala.html",messages_2,False,positive,0.5,"Пользователь ссылается на сервис как на источник информации, но выражение его высказывания нейтральное. Поэтому комментарий считается нейтральным.",проверка включения в расходы при усн стоимости приобретенных материалов в 1 с ссылка на бухэксперт 8
39785,39786,2024-04-02,2436,"Бухэксперт8 написал, что с релиза 3.0.150 страховые взносы отражаются либо вручную через Операции - Сведения об уплате налогов, либо при подключении сервиса сверки 1С и ЛК ЕНС ФНС",messages_2,True,positive,0.7,"Пользователь ссылается на достоверную информацию от бухгалтерского эксперта, что говорит о позитивном отношении к сервису. Хотя комментарий содержит негативный факт (необходимость отражать страховые взносы вручную или через сервис сверки), но он не направлен напрямую против сервиса, а используется как источник информации.",бухэксперт 8 написал что с релиза 3 0 150 страховые взносы отражаются либо вручную через операции сведения об уплате налогов либо при подключении сервиса сверки 1 с и лк енс фнс
39793,39794,2024-04-02,2436,"https://buhexpert8.ru/voprosy/voprosy-1s-buhgalteriya/usn-dohody-minus-rashody-buhgalteriya-predpriyatiya-redaktsiya-3-0-3-0-149-28.html читайте, очень подробно описано",messages_2,False,positive,0.7,"Пользователь ссылается на Buhexpert8 как на достоверный источник информации, что свидетельствует о позитивном отношении к сервису. Хотя комментарий содержит негативный тон, он не направлен напрямую против сервиса, а лишь использует его как источник информации.",ссылка на бухэксперт 8 читайте очень подробно описано
41526,41527,2024-04-06,547,"Какой лк у вас обновляется? Лк ЕНС обновили? 
Раздел главное-личный кабинет ЕНС -обновить данные на текущую дату .  После обновления сведения должны заполнится автоматом. Интеграция-доступ к лк  фнс из рабочего места 1с ( ЛК ЕНС) либо интерактивно  по кэп, либо через направленное согласие

https://buhexpert8.ru/1s-buhgalteriya/enp/kak-nastroit-integratsiyu-s-lk-po-ens-na-sajte-fns-v-1s.html?ysclid=lun5mqlva3283548675",messages_2,False,neutral,0.5,"Пользователь упоминает об обновлении данных в личном кабинете, но не выражает явную положительную или отрицательную эмоцию по этому вопросу. Он просто информирует, что после обновления данные должны заполняться автоматически, но не оценивает это как положительное или отрицательное свойство сервиса.",какой лк у вас обновляется лк енс обновили раздел главное личный кабинет енс обновить данные на текущую дату после обновления сведения должны заполнится автоматом интеграция доступ к лк фнс из рабочего места 1 с лк енс либо интерактивно по кэп либо через направленное согласие ссылка на бухэксперт 8
42086,42087,2024-04-08,31,Может кому пригодиться.....https://buhexpert8.ru/voprosy/voprosy-1s-buhgalteriya/v-24-godu-ne-popadayut-v-rashody-ndfl-i-strahovye-vznosy-s-zarabotnoj-platy-pri-usn.html?ysclid=luqnewcf4k773460978,messages_2,False,neutral,0.5,"Пользователь ссылается на сервис как на источник информации, но не выражает явную положительную или отрицательную эмоцию по отношению к сервису. Ссылка не содержит явных оценок или мнений о качестве сервиса.",может кому пригодиться ссылка на бухэксперт 8
42521,42522,2024-04-09,31,Не оно? https://buhexpert8.ru/1s-buhgalteriya/sobstvennyj-kapital/formirovanie-uk/raspredelenie-doli-vyshedshego-uchastnika-ooo-mezhdu-drugimi-uchastnikami.html?ysclid=lus6t8mqwo152794992,messages_2,False,neutral,0.5,"Пользователь не выразил явное удовлетворение или несудетворение по отношению к сервису. Он просто упомянул, что это ссылка на бухэксперт 8, но не выразил никакой эмоциональной оценки по сервису.",не оно ссылка на бухэксперт 8
43550,43551,2024-04-12,547,"В Бухэксперте  была статья 
Как отразить личные налоги физ лица  на ЕНС ИП  В 1С в 23г, думаю поможет, наведет что к чему хотя бы..",messages_2,True,positive,0.7,"Пользователь ссылается на статью в сервисе Buhexpert как полезный источник информации для понимания того, как отразить личные налоги физического лица на ЕНС ип в 2023 году. Хотя он не выражает чрезмерную радость, он все же считает, что эта статья может помочь в навигации по теме.",в бухэксперте была статья как отразить личные налоги физ лица на енс ип в 1 с в 23 г думаю поможет наведет что к чему хотя бы
43807,43808,2024-04-12,1225,"вот здесь есть подробное пояснение, в том числе по выкупу https://buhexpert8.ru/1s-buhgalteriya/fsbu-25-lizing/perehod-fsbu-25-lizing/poshagovyj-uchet-lizinga-v-1s-8-3-na-balanse-lizingopoluchatelya.html",messages_2,False,positive,0.7,"Пользователь ссылается на сервис как на источник достоверной информации и упоминает бухгалтерский эксперт 8, что делает комментарий положительным.",вот здесь есть подробное пояснение в том числе по выкупу ссылка на бухэксперт 8
44496,44497,2024-04-16,361,"Как заполнить уточненку по НДС, если в декларации забыли зачесть аванс от покупателя в прошлом квартале в 1С?
https://buhexpert8.ru/1s-buhgalteriya/nalogi/nds-nalogi/ispravleniya-utochneniya-nds/kak-zapolnit-utochnenku-po-nds-esli-v-deklaratsii-zabyli-zachest-avans-ot-pokupatelya-v-proshlom-kvartale.html",messages_2,False,positive,0.7,"Пользователь ссылается на Бухгалтерский эксперт 8 как на источник информации, что говорит о том, что сервис полезен и информативен. Хотя комментарий содержит негативный момент из-за опечати с зачетом аванса, общий настрой положительный.",как заполнить уточненку по ндс если в декларации забыли зачесть аванс от покупателя в прошлом квартале в 1 с ссылка на бухэксперт 8
45197,45198,2024-04-17,75,"Да, просто пропускайте эту операцию и все. Она отражается только в налоговом учете. 👉https://buhexpert8.ru/1s-buhgalteriya/nalogi/nalog-na-pribyl/ubytki/kak-perenesti-ubytok-esli-ego-spisanie-nuzhno-otlozhit-ili-prervat.html?ysclid=lv3z6eqxff430690166",messages_2,False,positive,0.5,"Пользователь ссылается на бухгалтерский эксперт 8 как источник информации, но не выражает явную положительную или отрицательную эмоцию по сервису. Поэтому оценка положительная, но с нейтральным эмоциональным счетом.",да просто пропускайте эту операцию и все она отражается только в налоговом учете ссылка на бухэксперт 8
47296,47297,2024-04-24,249,"Т.е. основы вам не преподавали. Тогда могу порекомендовать сайты ИТС, Бухэксперт8, Клерк, Учетбеззабот, Главкнига, налог налог.ру. Главбух и другие сервисы Актиона не рекомендую. Здесь много информации для практики. Но если теорию не изучали, то очень рекомендую изучить. Одного ФЗ 402 недостаточно. Нормативки у бухгалтера до и больше.",messages_2,True,positive,0.7,"Пользователь ссылается на сайты и сервисы как источники информации, но не выражает явную неприязнь к ним. Рекомендует изучить теорию, что свидетельствует о позитивном отношении к знаниям в области бухгалтерского учета.",т е основы вам не преподавали тогда могу порекомендовать сайты итс бухэксперт 8 клерк учетбеззабот главкнига налог налог ру главбух и другие сервисы актиона не рекомендую здесь много информации для практики но если теорию не изучали то очень рекомендую изучить одного фз 402 недостаточно нормативки у бухгалтера до и больше
47539,47540,2024-04-24,31,Тогда только операцией. ТОже как и какие регистры править - есть инфа на бухэксперт.,messages_2,True,positive,0.5,"Пользователь ссылается на сервис как источник информации, но не выражает особую эмоциональную привязанность к нему. Сервис упоминается как содержащий полезную информацию, но без оценки удобства использования или особой привлекательности.",тогда только операцией тоже как и какие регистры править есть инфа на бухэксперт
47733,47734,2024-04-25,1851,"Помню на вебинаре Назарова говорила, что одно из правил корректного расчета НДФЛ в ЗУП- аванс не должен быть больше зарплаты. По этой ситуации есть видео в бухэксперт по-моему, там надо пересчитать аванс, начисление з/п за этот месяц, распроведя все последующие  документы, появится излишне удержанный НДФЛ. Попробуйте в копии базы сначала",messages_2,True,positive,0.7,"Пользователь ссылается на вебинар и видео от бухгалтера, что является достоверной информацией и хорошим примером для сервиса. Хотя комментарий содержит некую критику (необходимость пересчитать аванс), общий тон положительный, так как пользователь указывает на необходимость исправления ошибки и корректировки НДФЛ.",помню на вебинаре назарова говорила что одно из правил корректного расчета ндфл в зуп аванс не должен быть больше зарплаты по этой ситуации есть видео в бухэксперт по моему там надо пересчитать аванс начисление з п за этот месяц распроведя все последующие документы появится излишне удержанный ндфл попробуйте в копии базы сначала
51070,51071,2024-05-11,7,"Вот посмотрите эту статью

https://buhexpert8.ru/1s-buhgalteriya/lajfhaki-dlya-buhgaltera/nastrojki/plan-schetov/kogda-sleduet-sozdavat-subscheta-k-schetu-20-osnovnoe-proizvodstvo.html?ysclid=lw20jnyorf806817934",messages_2,False,positive,0.5,"Пользователь ссылается на статью на сайте бухгалтерского эксперта, что считается положительным примером для сервиса, но не является очень положительным, так как не выражает особой эмоциональной вовлеченности или удовлетворенности сервисом.",вот посмотрите эту статью ссылка на бухэксперт 8
51798,51799,2024-05-14,75,Тут смотрели? 👉https://buhexpert8.ru/obuchenie-1s/1s-buhgalteriya-8-3/korrektirovka-realizatsii-v-1s-8-3-poshagovaya-instruktsiya.html,messages_2,False,positive,0.5,"Пользователь ссылается на статью или материал с сайта бухэксперта 8, что считается положительным примером для сервиса, несмотря на то, что комментарий является нейтральным.",тут смотрели ссылка на бухэксперт 8
53706,53707,2024-05-22,249,Посмотрите здесь. Может поможет https://buhexpert8.ru/voprosy/voprosy-1s-buhgalteriya/uvedomlenie-strahovye-vznosy-cherez-zadachi-organizatsii-2.html,messages_2,False,positive,0.75,"Пользователь ссылается на сервис бухэксперт 8 как на полезный источник информации, что считается положительным отзывом.",посмотрите здесь может поможет ссылка на бухэксперт 8
55803,55804,2024-05-30,128,"https://buhexpert8.ru/1s-zup/sedo-s-fss/ot-sotrudnika-net-zayavleniya-i-spravka-vtorogo-roditelya-kak-byt-s-otvetom-na-zapros-sfr-po-posobiyu-pri-rozhdenii.html

Вот здесь ещё почитайте",messages_2,False,positive,0.7,"Пользователь ссылается на сервис Buhexpert 8 как на источник достоверной информации, что считается хорошим примером для сервиса. Хотя комментарий содержит негативный тон, но он не направлен непосредственно против сервиса, а лишь ссылается на него как на источник.",ссылка на бухэксперт 8 вот здесь ещё почитайте
56254,56255,2024-06-01,56,"Вот я как первоначальный в бухэксперте инфу нашла, думаю и к вам тоже подходит",messages_2,True,positive,0.75,"Пользователь нашел сервис полезным и достоверным, как и первоначальный источник информации. Это положительный комментарий, который свидетельствует о хорошем примере для сервиса.",вот я как первоначальный в бухэксперте инфу нашла думаю и к вам тоже подходит
57499,57500,2024-06-06,1747,"Я читала это, но во первых уже по НДФЛ другие правила, во вторых у нас гражданин рф. Но это наверно не важно. Я логику понимаю, но в зуп не могу верно провести получается… в бухэксперте есть статья, там с января меняли статус сотруднику и потом в самой зп перерасчет был, а у меня в зп перерасчет тоже, но в регистрах фигня выходит 🙈",messages_2,True,negative,0.6,"Пользователь жалуется на ошибку в бухгалтерском учете, связанную с изменением статуса сотрудника и последующим перерасчетом заработной платы. Хотя он понимает логику системы, у него возникшие проблемы с корректным проведением этих операций.",я читала это но во первых уже по ндфл другие правила во вторых у нас гражданин рф но это наверно не важно я логику понимаю но в зуп не могу верно провести получается в бухэксперте есть статья там с января меняли статус сотруднику и потом в самой зп перерасчет был а у меня в зп перерасчет тоже но в регистрах фигня выходит
62385,62386,2024-06-27,128,"Компенсация за задержку зарплаты в 1С 8.3 ЗУП - как начислить
https://buhexpert8.ru/obuchenie-1s/1s-zup-8-3/kak-nachislit-kompensatsiyu-za-zaderzhku-zarplaty-v-1s-8-3-zup.html",messages_2,False,positive,0.5,"Пользователь ссылается на сервис Buhexpert8 как источник информации о том, как начислять компенсацию за задержку зарплаты. Хотя комментарий не является сильно положительным, он все же оценивает сервис положительно, так как считает его полезным и достоверным источником.",компенсация за задержку зарплаты в 1 с 8 3 зуп как начислить ссылка на бухэксперт 8
